#step enthalpy vol
0 -2487805.0100958771072 154456.55621799331857
1000 -2487775.9711862816475 154456.55621799331857
2000 -2487799.5543002556078 154456.55621799331857
3000 -2487789.383394388482 154456.55621799331857
4000 -2487839.4611729187891 154456.55621799331857
5000 -2487701.8263036501594 154456.55621799331857
6000 -2487802.3101010220125 154456.55621799331857
7000 -2487754.3666879590601 154456.55621799331857
8000 -2487755.189777391497 154456.55621799331857
9000 -2487746.3962698229589 154456.55621799331857
10000 -2487767.149296216201 154456.55621799331857
11000 -2487806.451899075415 154456.55621799331857
12000 -2487757.2175270235166 154456.55621799331857
13000 -2487735.6532440045848 154456.55621799331857
14000 -2487789.9277439448051 154456.55621799331857
15000 -2487699.9376472965814 154456.55621799331857
16000 -2487761.5939738363959 154456.55621799331857
17000 -2487753.3706000605598 154456.55621799331857
18000 -2487748.4965721154585 154456.55621799331857
19000 -2487802.8318272260949 154456.55621799331857
20000 -2487762.8889338378794 154456.55621799331857
21000 -2487750.4679857217707 154456.55621799331857
22000 -2487752.5315735698678 154456.55621799331857
23000 -2487719.4547065142542 154456.55621799331857
24000 -2487813.7165065878071 154456.55621799331857
25000 -2487801.6500196773559 154456.55621799331857
26000 -2487771.4099999102764 154456.55621799331857
27000 -2487752.569639320951 154456.55621799331857
28000 -2487817.2553980886005 154456.55621799331857
29000 -2487855.9553571906872 154456.55621799331857
30000 -2487849.4500737315975 154456.55621799331857
31000 -2487805.8642330407165 154456.55621799331857
32000 -2487745.3592367703095 154456.55621799331857
33000 -2487826.0849998127669 154456.55621799331857
34000 -2487729.2979179471731 154456.55621799331857
35000 -2487849.9108943128958 154456.55621799331857
36000 -2487778.180475121364 154456.55621799331857
37000 -2487862.0778189464472 154456.55621799331857
38000 -2487796.1852854629979 154456.55621799331857
39000 -2487748.1972751142457 154456.55621799331857
40000 -2487803.5563047439791 154456.55621799331857
41000 -2487840.5028571416624 154456.55621799331857
42000 -2487868.4177395552397 154456.55621799331857
43000 -2487712.10165800713 154456.55621799331857
44000 -2487807.6839891620912 154456.55621799331857
45000 -2487856.2082550055347 154456.55621799331857
46000 -2487850.8178499997593 154456.55621799331857
47000 -2487783.3862239117734 154456.55621799331857
48000 -2487786.5070181037299 154456.55621799331857
49000 -2487833.5678791999817 154456.55621799331857
50000 -2487745.9677731534466 154456.55621799331857
51000 -2487774.7360550994053 154456.55621799331857
52000 -2487851.857568891719 154456.55621799331857
53000 -2487762.0055643878877 154456.55621799331857
54000 -2487669.8767211590894 154456.55621799331857
55000 -2487843.2476206682622 154456.55621799331857
56000 -2487849.7216105670668 154456.55621799331857
57000 -2487789.4608511216938 154456.55621799331857
58000 -2487724.1223914497532 154456.55621799331857
59000 -2487732.6787729063071 154456.55621799331857
60000 -2487828.7183123757131 154456.55621799331857
61000 -2487789.9752539079636 154456.55621799331857
62000 -2487799.3531598253176 154456.55621799331857
63000 -2487769.7214339962229 154456.55621799331857
64000 -2487806.9835951188579 154456.55621799331857
65000 -2487702.0286742346361 154456.55621799331857
66000 -2487701.2209466514178 154456.55621799331857
67000 -2487807.1539367423393 154456.55621799331857
68000 -2487725.3404420097359 154456.55621799331857
69000 -2487800.3244036864489 154456.55621799331857
70000 -2487849.2240634006448 154456.55621799331857
71000 -2487814.2093504741788 154456.55621799331857
72000 -2487757.2958989739418 154456.55621799331857
73000 -2487877.5204378259368 154456.55621799331857
74000 -2487817.2490820819512 154456.55621799331857
75000 -2487780.012177199591 154456.55621799331857
76000 -2487803.8105518803932 154456.55621799331857
77000 -2487824.4158431258984 154456.55621799331857
78000 -2487797.387798147276 154456.55621799331857
79000 -2487803.2801488018595 154456.55621799331857
80000 -2487811.228867107071 154456.55621799331857
81000 -2487722.3049415531568 154456.55621799331857
82000 -2487799.7976085729897 154456.55621799331857
83000 -2487813.4313695183955 154456.55621799331857
84000 -2487754.7965694544837 154456.55621799331857
85000 -2487761.1157979667187 154456.55621799331857
86000 -2487864.5193466399796 154456.55621799331857
87000 -2487811.6481331237592 154456.55621799331857
88000 -2487751.0796677717008 154456.55621799331857
89000 -2487800.5936460918747 154456.55621799331857
90000 -2487837.9434758406132 154456.55621799331857
91000 -2487867.9820092851296 154456.55621799331857
92000 -2487856.0212410450913 154456.55621799331857
93000 -2487804.9506671777926 154456.55621799331857
94000 -2487767.4421440353617 154456.55621799331857
95000 -2487830.1787707256153 154456.55621799331857
96000 -2487786.2309816051275 154456.55621799331857
97000 -2487828.8334782687016 154456.55621799331857
98000 -2487811.4132209816016 154456.55621799331857
99000 -2487820.1672365292907 154456.55621799331857
100000 -2487796.42870049458 154456.55621799331857
101000 -2487769.7969309845939 154456.55621799331857
102000 -2487766.6870510363951 154456.55621799331857
103000 -2487839.2888196753338 154456.55621799331857
104000 -2487811.8954644640908 154456.55621799331857
105000 -2487751.0790653591976 154456.55621799331857
106000 -2487735.8200346976519 154456.55621799331857
107000 -2487800.6828900040127 154456.55621799331857
108000 -2487759.0746284201741 154456.55621799331857
109000 -2487690.4833708670922 154456.55621799331857
110000 -2487795.4008263284341 154456.55621799331857
111000 -2487739.1002247296274 154456.55621799331857
