#step enthalpy vol
0 -2487805.0100958771072 154456.55621799331857
1000 -2487798.6906255688518 154456.55621799331857
2000 -2487766.8154478687793 154456.55621799331857
3000 -2487775.6098050442524 154456.55621799331857
4000 -2487775.1270248596556 154456.55621799331857
5000 -2487890.1980997058563 154456.55621799331857
6000 -2487756.6291321134195 154456.55621799331857
7000 -2487788.4246446695179 154456.55621799331857
8000 -2487860.9827646752819 154456.55621799331857
9000 -2487809.3927359818481 154456.55621799331857
10000 -2487769.2215882688761 154456.55621799331857
11000 -2487750.9451623186469 154456.55621799331857
12000 -2487767.251126172021 154456.55621799331857
13000 -2487744.292370873969 154456.55621799331857
14000 -2487791.6426097168587 154456.55621799331857
15000 -2487776.4314278448001 154456.55621799331857
16000 -2487750.3300176002085 154456.55621799331857
17000 -2487791.0171524081379 154456.55621799331857
18000 -2487902.4756878255866 154456.55621799331857
19000 -2487884.2572172735818 154456.55621799331857
20000 -2487793.7311191596091 154456.55621799331857
21000 -2487777.7684911973774 154456.55621799331857
22000 -2487788.8482130612247 154456.55621799331857
23000 -2487783.1058207945898 154456.55621799331857
24000 -2487711.9851218294352 154456.55621799331857
25000 -2487793.7631641826592 154456.55621799331857
26000 -2487818.058991949074 154456.55621799331857
27000 -2487826.8494536825456 154456.55621799331857
28000 -2487778.9806575691327 154456.55621799331857
29000 -2487846.7917029545642 154456.55621799331857
30000 -2487816.7728457250632 154456.55621799331857
31000 -2487758.4701350238174 154456.55621799331857
32000 -2487694.8060229923576 154456.55621799331857
33000 -2487836.2590376455337 154456.55621799331857
34000 -2487758.0720852105878 154456.55621799331857
35000 -2487826.5060594510287 154456.55621799331857
36000 -2487813.503841040656 154456.55621799331857
37000 -2487776.5881892773323 154456.55621799331857
38000 -2487756.5895445742644 154456.55621799331857
39000 -2487767.3574620019644 154456.55621799331857
40000 -2487721.7778830588795 154456.55621799331857
41000 -2487771.1900866064243 154456.55621799331857
42000 -2487793.828145890031 154456.55621799331857
43000 -2487776.8553906599991 154456.55621799331857
44000 -2487714.7931309700944 154456.55621799331857
45000 -2487779.8368709115312 154456.55621799331857
46000 -2487762.1904069329612 154456.55621799331857
47000 -2487797.5689703696407 154456.55621799331857
48000 -2487772.9358933079056 154456.55621799331857
49000 -2487734.9741615294479 154456.55621799331857
50000 -2487805.564307641238 154456.55621799331857
51000 -2487772.729784864001 154456.55621799331857
52000 -2487776.2917621424422 154456.55621799331857
53000 -2487817.0894794715568 154456.55621799331857
54000 -2487813.6696780608036 154456.55621799331857
55000 -2487838.8617346994579 154456.55621799331857
56000 -2487813.574824011419 154456.55621799331857
57000 -2487717.6574813639745 154456.55621799331857
58000 -2487834.1645033084787 154456.55621799331857
59000 -2487755.2918654382229 154456.55621799331857
60000 -2487795.4731820416637 154456.55621799331857
61000 -2487776.4806187627837 154456.55621799331857
62000 -2487760.6662133205682 154456.55621799331857
63000 -2487833.026520463638 154456.55621799331857
64000 -2487752.7573987501673 154456.55621799331857
65000 -2487759.0839932910167 154456.55621799331857
66000 -2487806.4176370003261 154456.55621799331857
67000 -2487835.71699375147 154456.55621799331857
68000 -2487800.5863771466538 154456.55621799331857
69000 -2487824.7426084652543 154456.55621799331857
70000 -2487771.7163391234353 154456.55621799331857
71000 -2487794.0536097516306 154456.55621799331857
72000 -2487770.6518735713325 154456.55621799331857
73000 -2487765.5218122284859 154456.55621799331857
74000 -2487758.3247676151805 154456.55621799331857
75000 -2487698.4897566917352 154456.55621799331857
76000 -2487808.5570667856373 154456.55621799331857
77000 -2487757.0882790586911 154456.55621799331857
78000 -2487763.5479945391417 154456.55621799331857
79000 -2487819.9683814728633 154456.55621799331857
80000 -2487794.7005359968171 154456.55621799331857
81000 -2487769.7606691168621 154456.55621799331857
82000 -2487828.0819730074145 154456.55621799331857
83000 -2487778.4189440156333 154456.55621799331857
84000 -2487754.3964169006795 154456.55621799331857
85000 -2487884.584180528298 154456.55621799331857
86000 -2487860.2893279255368 154456.55621799331857
87000 -2487782.103975772392 154456.55621799331857
88000 -2487763.9218776389025 154456.55621799331857
89000 -2487732.1265611769632 154456.55621799331857
90000 -2487746.6359381093644 154456.55621799331857
91000 -2487775.7007930073887 154456.55621799331857
92000 -2487841.9283171133138 154456.55621799331857
93000 -2487760.3694636994042 154456.55621799331857
94000 -2487793.3086990253069 154456.55621799331857
95000 -2487763.0598624828272 154456.55621799331857
96000 -2487710.4340277607553 154456.55621799331857
97000 -2487745.585871219635 154456.55621799331857
98000 -2487757.5408784318715 154456.55621799331857
99000 -2487790.0001627476886 154456.55621799331857
100000 -2487754.4794988888316 154456.55621799331857
101000 -2487747.3701711199246 154456.55621799331857
102000 -2487862.6701452718116 154456.55621799331857
103000 -2487792.9400202534162 154456.55621799331857
104000 -2487801.256193889305 154456.55621799331857
105000 -2487755.590245175641 154456.55621799331857
106000 -2487877.081276119221 154456.55621799331857
107000 -2487729.8596606324427 154456.55621799331857
108000 -2487862.3283056039363 154456.55621799331857
109000 -2487886.2648189314641 154456.55621799331857
110000 -2487813.0368755511008 154456.55621799331857
111000 -2487775.5993836633861 154456.55621799331857
112000 -2487742.501936414279 154456.55621799331857
113000 -2487809.8364377650432 154456.55621799331857
114000 -2487755.2525242823176 154456.55621799331857
115000 -2487761.6729396423325 154456.55621799331857
116000 -2487753.6798705151305 154456.55621799331857
117000 -2487770.8913629814051 154456.55621799331857
118000 -2487823.274542094674 154456.55621799331857
119000 -2487804.1350818513893 154456.55621799331857
120000 -2487772.9984132740647 154456.55621799331857
121000 -2487894.0720497891307 154456.55621799331857
122000 -2487835.4829777246341 154456.55621799331857
123000 -2487758.4879520661198 154456.55621799331857
124000 -2487756.7568014995195 154456.55621799331857
125000 -2487833.5348386899568 154456.55621799331857
126000 -2487819.9710736423731 154456.55621799331857
127000 -2487836.5401226724498 154456.55621799331857
128000 -2487804.5177014349028 154456.55621799331857
129000 -2487828.4778980356641 154456.55621799331857
130000 -2487779.5681035988964 154456.55621799331857
131000 -2487788.7829919406213 154456.55621799331857
132000 -2487804.6466370169073 154456.55621799331857
133000 -2487793.5834542303346 154456.55621799331857
134000 -2487717.2513758041896 154456.55621799331857
135000 -2487771.8641999121755 154456.55621799331857
136000 -2487806.4949925011024 154456.55621799331857
137000 -2487765.9856069199741 154456.55621799331857
138000 -2487824.1917271711864 154456.55621799331857
139000 -2487830.3100866815075 154456.55621799331857
140000 -2487765.0743959513493 154456.55621799331857
141000 -2487778.5485611935146 154456.55621799331857
142000 -2487842.4507077680901 154456.55621799331857
143000 -2487750.3583256080747 154456.55621799331857
144000 -2487796.1891021709889 154456.55621799331857
145000 -2487790.8256762092933 154456.55621799331857
146000 -2487805.3027117061429 154456.55621799331857
147000 -2487791.9319944120944 154456.55621799331857
148000 -2487771.2589901345782 154456.55621799331857
149000 -2487748.3870938494802 154456.55621799331857
150000 -2487776.1515884799883 154456.55621799331857
151000 -2487750.4514816952869 154456.55621799331857
152000 -2487758.6244220552035 154456.55621799331857
153000 -2487819.5208538537845 154456.55621799331857
154000 -2487797.900084731169 154456.55621799331857
155000 -2487791.3915656520985 154456.55621799331857
156000 -2487764.7483852067962 154456.55621799331857
157000 -2487782.4150783177465 154456.55621799331857
158000 -2487726.8522611754015 154456.55621799331857
159000 -2487834.5615407899022 154456.55621799331857
160000 -2487791.6141868624836 154456.55621799331857
161000 -2487788.9372403100133 154456.55621799331857
162000 -2487801.9486102550291 154456.55621799331857
163000 -2487723.2368385572918 154456.55621799331857
164000 -2487792.591131283436 154456.55621799331857
165000 -2487750.7568799341097 154456.55621799331857
166000 -2487730.5773478932679 154456.55621799331857
167000 -2487822.1092778886668 154456.55621799331857
168000 -2487825.2839221833274 154456.55621799331857
169000 -2487782.8263338287361 154456.55621799331857
170000 -2487836.9810875598341 154456.55621799331857
171000 -2487823.2713486435823 154456.55621799331857
172000 -2487769.1571466582827 154456.55621799331857
173000 -2487800.5353229008615 154456.55621799331857
174000 -2487772.5339696421288 154456.55621799331857
175000 -2487802.612593470607 154456.55621799331857
176000 -2487700.8478566086851 154456.55621799331857
177000 -2487819.0998667944223 154456.55621799331857
178000 -2487833.8859304515645 154456.55621799331857
179000 -2487794.9156031599268 154456.55621799331857
180000 -2487756.7738352268934 154456.55621799331857
181000 -2487773.0305708223023 154456.55621799331857
182000 -2487733.1784323765896 154456.55621799331857
183000 -2487830.4325385401025 154456.55621799331857
184000 -2487770.3670081873424 154456.55621799331857
185000 -2487811.7224619193003 154456.55621799331857
186000 -2487809.347664269153 154456.55621799331857
187000 -2487769.7102632690221 154456.55621799331857
188000 -2487759.0442625475116 154456.55621799331857
189000 -2487775.5998450950719 154456.55621799331857
190000 -2487824.1274601658806 154456.55621799331857
191000 -2487776.7887672586367 154456.55621799331857
192000 -2487779.9137912569568 154456.55621799331857
193000 -2487800.5200881017372 154456.55621799331857
194000 -2487731.5773489731364 154456.55621799331857
195000 -2487819.4481951985508 154456.55621799331857
196000 -2487830.6678871493787 154456.55621799331857
197000 -2487714.0452286349609 154456.55621799331857
198000 -2487818.4157287511043 154456.55621799331857
199000 -2487846.875681669917 154456.55621799331857
200000 -2487806.1998820854351 154456.55621799331857
201000 -2487809.050463152118 154456.55621799331857
202000 -2487762.9750496204942 154456.55621799331857
203000 -2487784.7575572421774 154456.55621799331857
204000 -2487758.8399220579304 154456.55621799331857
205000 -2487754.329034132883 154456.55621799331857
206000 -2487803.0238116728142 154456.55621799331857
207000 -2487739.1236864607781 154456.55621799331857
208000 -2487804.4483896684833 154456.55621799331857
209000 -2487826.0809953920543 154456.55621799331857
210000 -2487740.2230088529177 154456.55621799331857
211000 -2487781.2701929556206 154456.55621799331857
212000 -2487775.4535524481907 154456.55621799331857
213000 -2487833.8805063855834 154456.55621799331857
