#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.160120e-01       9.667125e-18       4.464980e-02       2.949334e-02       1.508626e-02       2.161947e-02
           0       1.158322e-01       2.606124e-17       4.546448e-02       3.393519e-02       1.155861e-02       2.006821e-02
        2000       1.156649e-01       1.089290e-04       4.282606e-02       1.606509e-01       8.283313e-03       4.153746e-02
        4000       1.176874e-01       3.219450e-04       4.360385e-02       1.132867e-01       8.388480e-03       4.110278e-02
        6000       1.186025e-01       1.854647e-04       4.399137e-02       1.077397e-01       9.833172e-03       4.003885e-02
        8000       1.181750e-01       2.533326e-04       4.370544e-02       1.247682e-01       8.321820e-03       4.152100e-02
       10000       1.198072e-01       2.032437e-04       4.408331e-02       1.202535e-01       1.110240e-02       4.047085e-02
       12000       1.165145e-01       2.039092e-04       4.282301e-02       1.580414e-01       1.063563e-02       4.127108e-02
       14000       1.180376e-01       2.074669e-04       4.343308e-02       1.032001e-01       8.736611e-03       3.866646e-02
       16000       1.156106e-01       7.461468e-04       4.290749e-02       1.340246e-01       1.156488e-02       4.073144e-02
       18000       1.171298e-01       3.293436e-04       4.337670e-02       1.300342e-01       1.251952e-02       4.163629e-02
       20000       1.214639e-01       3.698155e-04       4.496134e-02       1.598031e-01       1.111738e-02       4.097582e-02
       22000       1.171594e-01       2.866125e-04       4.344286e-02       2.004129e-01       1.326939e-02       4.183127e-02
       24000       1.222506e-01       1.898394e-04       4.484769e-02       1.150075e-01       1.026320e-02       4.176031e-02
       26000       1.185383e-01       2.659680e-04       4.392689e-02       1.150904e-01       1.135783e-02       4.126496e-02
       28000       1.179060e-01       2.504413e-04       4.343931e-02       1.331901e-01       1.010170e-02       4.108360e-02
       30000       1.177283e-01       4.491578e-04       4.343668e-02       1.187151e-01       1.154913e-02       4.132877e-02
       32000       1.170422e-01       1.629308e-04       4.316627e-02       1.386887e-01       8.562303e-03       4.106694e-02
       34000       1.210673e-01       2.011622e-04       4.451712e-02       1.110193e-01       9.584040e-03       3.981429e-02
       36000       1.186226e-01       3.467534e-04       4.401030e-02       1.215096e-01       1.346989e-02       4.081062e-02
       38000       1.169757e-01       1.285188e-04       4.329283e-02       2.295478e-01       1.021672e-02       4.064323e-02
       40000       1.203518e-01       1.893064e-04       4.438914e-02       1.409306e-01       1.049592e-02       4.117732e-02
       42000       1.167756e-01       2.615609e-04       4.321988e-02       1.449741e-01       1.042706e-02       4.108324e-02
       44000       1.182560e-01       3.047403e-04       4.375972e-02       1.079341e-01       1.142506e-02       4.102259e-02
