#step enthalpy vol
0 -738812.56576940533705 45413.895640553433623
10000 -738856.74923745146953 45413.895640553433623
20000 -738808.78181882936042 45413.895640553433623
30000 -738856.33634289482143 45413.895640553433623
40000 -738816.23616897384636 45413.895640553433623
50000 -738830.27668910543434 45413.895640553433623
60000 -738849.82854224287439 45413.895640553433623
70000 -738825.62096144189127 45413.895640553433623
80000 -738853.64528905507177 45413.895640553433623
90000 -738869.9443171514431 45413.895640553433623
100000 -738835.42455512611195 45413.895640553433623
110000 -738862.22503714030609 45413.895640553433623
120000 -738826.49508009583224 45413.895640553433623
130000 -738861.04280067107175 45413.895640553433623
140000 -738787.31187547917943 45413.895640553433623
150000 -738866.20049519650638 45413.895640553433623
160000 -738856.96576358587481 45413.895640553433623
170000 -738846.63406121870503 45413.895640553433623
180000 -738824.67767829576042 45413.895640553433623
190000 -738839.76470510184299 45413.895640553433623
200000 -738860.18674270738848 45413.895640553433623
210000 -738865.12822028214578 45413.895640553433623
220000 -738844.75837731303181 45413.895640553433623
230000 -738835.7847310428042 45413.895640553433623
240000 -738845.7248833598569 45413.895640553433623
250000 -738831.35365024209023 45413.895640553433623
260000 -738913.22082604281604 45413.895640553433623
270000 -738863.36943822703324 45413.895640553433623
280000 -738876.28257641592063 45413.895640553433623
290000 -738864.78727791667916 45413.895640553433623
300000 -738881.49008904106449 45413.895640553433623
310000 -738819.46199030638672 45413.895640553433623
320000 -738878.83015012915712 45413.895640553433623
330000 -738905.25093491736334 45413.895640553433623
340000 -738836.41132572654169 45413.895640553433623
350000 -738861.28347043588292 45413.895640553433623
360000 -738857.70345855411142 45413.895640553433623
370000 -738865.24975809443276 45413.895640553433623
380000 -738864.57641470408998 45413.895640553433623
390000 -738807.71740876988042 45413.895640553433623
400000 -738815.0163519383641 45413.895640553433623
410000 -738831.73418683302589 45413.895640553433623
420000 -738863.7388857799815 45413.895640553433623
430000 -738869.31521725456696 45413.895640553433623
440000 -738881.95467456721235 45413.895640553433623
450000 -738871.16855516983196 45413.895640553433623
460000 -738840.05881742935162 45413.895640553433623
470000 -738834.06761614081915 45413.895640553433623
480000 -738855.70388435141649 45413.895640553433623
490000 -738853.49345918814652 45413.895640553433623
500000 -738846.20390250510536 45413.895640553433623
510000 -738842.38465979823377 45413.895640553433623
520000 -738848.74807545205113 45413.895640553433623
530000 -738867.32198213576339 45413.895640553433623
540000 -738847.44961390306707 45413.895640553433623
550000 -738838.5498665968189 45413.895640553433623
560000 -738859.85091029317118 45413.895640553433623
570000 -738891.51283792604227 45413.895640553433623
580000 -738830.94497231976129 45413.895640553433623
590000 -738897.5632154130144 45413.895640553433623
600000 -738847.40157450048719 45413.895640553433623
610000 -738924.51842178904917 45413.895640553433623
620000 -738863.36991933151148 45413.895640553433623
630000 -738844.96634923212696 45413.895640553433623
640000 -738863.42294041672722 45413.895640553433623
650000 -738829.48978621268179 45413.895640553433623
660000 -738850.45344613830093 45413.895640553433623
670000 -738908.28971273521893 45413.895640553433623
680000 -738819.70101506484207 45413.895640553433623
690000 -738866.41874788480345 45413.895640553433623
700000 -738854.30359060945921 45413.895640553433623
710000 -738836.27165313763544 45413.895640553433623
720000 -738856.13174332189374 45413.895640553433623
730000 -738839.81693818850908 45413.895640553433623
740000 -738846.64121488772798 45413.895640553433623
750000 -738837.97107157087885 45413.895640553433623
760000 -738872.38525100785773 45413.895640553433623
770000 -738842.51433187164366 45413.895640553433623
780000 -738889.35977127286606 45413.895640553433623
790000 -738840.19599294837099 45413.895640553433623
800000 -738861.11520783929154 45413.895640553433623
810000 -738852.78735737607349 45413.895640553433623
820000 -738791.21398870809935 45413.895640553433623
830000 -738830.39040196174756 45413.895640553433623
840000 -738853.11086341785267 45413.895640553433623
850000 -738882.76668805559166 45413.895640553433623
860000 -738877.15245073440019 45413.895640553433623
870000 -738855.17298429273069 45413.895640553433623
880000 -738854.78378967603203 45413.895640553433623
890000 -738859.60421008185949 45413.895640553433623
900000 -738878.45734748383984 45413.895640553433623
910000 -738835.33045531937387 45413.895640553433623
920000 -738841.17603538674302 45413.895640553433623
930000 -738836.87968366371933 45413.895640553433623
940000 -738886.33475577645004 45413.895640553433623
950000 -738843.26645147055387 45413.895640553433623
960000 -738850.91904645517934 45413.895640553433623
970000 -738841.5521723945858 45413.895640553433623
980000 -738871.82767847622745 45413.895640553433623
990000 -738871.37734425161034 45413.895640553433623
1000000 -738892.79125084180851 45413.895640553433623
1010000 -738835.48638172005303 45413.895640553433623
1020000 -738867.90499440394342 45413.895640553433623
1030000 -738882.6167315057246 45413.895640553433623
1040000 -738819.05917673080694 45413.895640553433623
1050000 -738874.26188861264382 45413.895640553433623
1060000 -738875.06150038039777 45413.895640553433623
1070000 -738851.11834449588787 45413.895640553433623
1080000 -738830.79995050863363 45413.895640553433623
1090000 -738827.50261203362606 45413.895640553433623
1100000 -738886.0081683852477 45413.895640553433623
1110000 -738880.99758808244951 45413.895640553433623
1120000 -738848.65261831553653 45413.895640553433623
1130000 -738874.31003643851727 45413.895640553433623
1140000 -738862.89183117949869 45413.895640553433623
1150000 -738912.96342630602885 45413.895640553433623
1160000 -738857.38474742555991 45413.895640553433623
1170000 -738859.19756249280181 45413.895640553433623
1180000 -738849.25542574422434 45413.895640553433623
1190000 -738836.25441123754717 45413.895640553433623
1200000 -738853.16482722270302 45413.895640553433623
1210000 -738849.87816522235516 45413.895640553433623
1220000 -738881.3317380117951 45413.895640553433623
1230000 -738826.08236368047073 45413.895640553433623
