#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.020980e-01       6.450099e-06       5.856472e-02       4.525048e-02       2.094238e-02       2.960149e-02
           0       1.053092e-01       4.419612e-07       6.039619e-02       2.743866e-02       8.436068e-03       1.839380e-02
        2000       1.064685e-01       4.338093e-04       6.057083e-02       1.345888e-01       1.775598e-02       5.410945e-02
        4000       1.088152e-01       5.137192e-04       6.192232e-02       1.124851e-01       1.353437e-02       5.142633e-02
        6000       1.066564e-01       5.598925e-04       6.078067e-02       1.446230e-01       1.685756e-02       5.250132e-02
        8000       1.067643e-01       7.872513e-04       6.096581e-02       1.394352e-01       1.449910e-02       5.373218e-02
       10000       1.074464e-01       6.797702e-04       6.119040e-02       1.266349e-01       1.753008e-02       5.373187e-02
       12000       1.068954e-01       3.876800e-04       6.096605e-02       1.355883e-01       1.653202e-02       5.488929e-02
       14000       1.066023e-01       7.090613e-04       6.080213e-02       1.461845e-01       1.681790e-02       5.384106e-02
       16000       1.091651e-01       4.485920e-04       6.216394e-02       1.259254e-01       1.516227e-02       5.246735e-02
       18000       1.079667e-01       4.441644e-04       6.118913e-02       1.308705e-01       1.643473e-02       5.208025e-02
       20000       1.073089e-01       4.329947e-04       6.123289e-02       1.341391e-01       1.621098e-02       5.290402e-02
       22000       1.070013e-01       3.905139e-04       6.070544e-02       1.722428e-01       1.971437e-02       5.379399e-02
       24000       1.088432e-01       2.951308e-04       6.173879e-02       1.479934e-01       1.234425e-02       5.382053e-02
       26000       1.081002e-01       3.131944e-04       6.126306e-02       1.180514e-01       1.416807e-02       5.490277e-02
       28000       1.080671e-01       7.837115e-05       6.174155e-02       1.347491e-01       1.728951e-02       5.451551e-02
       30000       1.072363e-01       4.948747e-04       6.076446e-02       1.240208e-01       1.003070e-02       5.403401e-02
       32000       1.093263e-01       5.247841e-04       6.216695e-02       1.524411e-01       1.602357e-02       5.634035e-02
