#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.020980e-01       6.450099e-06       5.856472e-02       4.525048e-02       2.094238e-02       2.960149e-02
           0       1.053458e-01       2.758328e-06       6.035188e-02       2.679704e-02       9.312472e-03       1.814385e-02
        2000       1.080438e-01       5.738066e-04       6.096693e-02       1.197860e-01       9.718619e-03       5.445148e-02
        4000       1.099582e-01       6.626541e-04       6.243751e-02       1.783678e-01       1.740992e-02       5.600185e-02
        6000       1.068018e-01       2.240365e-04       6.113414e-02       1.457709e-01       2.022939e-02       5.567623e-02
        8000       1.106309e-01       7.495023e-04       6.293982e-02       1.370886e-01       8.734448e-03       5.778502e-02
       10000       1.083652e-01       5.432604e-04       6.197081e-02       1.322656e-01       1.823372e-02       5.686801e-02
       12000       1.113892e-01       8.526541e-04       6.317596e-02       1.470800e-01       1.248924e-02       5.532300e-02
       14000       1.087974e-01       7.337069e-04       6.183755e-02       1.264715e-01       1.349035e-02       5.668626e-02
       16000       1.100380e-01       6.258141e-04       6.292122e-02       1.469758e-01       1.525464e-02       5.794198e-02
       18000       1.100854e-01       2.547874e-04       6.252225e-02       1.473929e-01       1.692713e-02       5.606495e-02
       20000       1.092896e-01       4.881354e-04       6.195166e-02       1.332115e-01       1.625264e-02       5.654519e-02
       22000       1.092552e-01       6.511294e-04       6.210333e-02       1.499775e-01       1.826322e-02       5.996237e-02
       24000       1.086483e-01       5.911411e-04       6.173668e-02       1.528231e-01       1.828631e-02       5.698692e-02
       26000       1.098119e-01       7.833295e-04       6.262202e-02       1.378490e-01       1.453180e-02       5.618909e-02
       28000       1.092976e-01       3.665234e-04       6.234188e-02       1.232250e-01       1.783414e-02       5.816061e-02
       30000       1.077026e-01       6.190786e-04       6.120315e-02       1.357579e-01       1.928278e-02       5.797786e-02
       32000       1.068893e-01       7.881256e-04       6.114290e-02       1.789279e-01       1.544145e-02       5.519658e-02
       34000       1.097018e-01       6.475713e-04       6.230270e-02       1.394905e-01       1.550176e-02       5.530762e-02
       36000       1.075852e-01       7.188321e-04       6.121087e-02       1.302292e-01       1.327778e-02       5.371218e-02
       38000       1.093499e-01       3.871022e-04       6.211883e-02       1.339358e-01       1.714606e-02       5.713543e-02
       40000       1.083530e-01       4.756790e-04       6.161496e-02       1.590719e-01       1.484958e-02       5.614018e-02
       42000       1.085556e-01       8.256636e-04       6.187550e-02       1.421512e-01       1.553978e-02       6.131888e-02
       44000       1.108833e-01       4.443020e-04       6.296495e-02       1.324510e-01       2.078765e-02       5.730435e-02
       46000       1.083817e-01       2.550203e-04       6.147392e-02       1.462601e-01       1.543860e-02       5.968844e-02
       48000       1.089099e-01       6.231945e-04       6.181049e-02       1.160550e-01       1.675222e-02       5.520900e-02
       50000       1.065280e-01       5.159277e-04       6.062466e-02       1.395975e-01       1.639175e-02       5.427855e-02
       52000       1.084057e-01       5.771336e-04       6.167819e-02       1.167270e-01       1.859330e-02       5.540960e-02
       54000       1.098391e-01       4.271199e-04       6.248983e-02       1.639043e-01       1.619919e-02       5.821112e-02
       56000       1.081768e-01       5.647220e-04       6.149738e-02       1.409173e-01       1.522330e-02       5.499143e-02
       58000       1.087326e-01       6.678650e-04       6.160712e-02       1.291564e-01       1.753527e-02       5.753856e-02
       60000       1.080656e-01       4.411514e-04       6.144351e-02       1.220442e-01       1.829573e-02       5.592856e-02
       62000       1.099695e-01       1.000181e-03       6.239422e-02       1.544944e-01       1.997792e-02       5.725195e-02
       64000       1.105186e-01       5.637623e-04       6.297624e-02       1.496511e-01       1.367915e-02       5.704236e-02
       66000       1.106713e-01       8.255413e-04       6.294642e-02       1.360612e-01       1.723194e-02       5.624106e-02
       68000       1.101944e-01       2.599341e-04       6.252100e-02       1.344168e-01       1.813175e-02       5.632411e-02
       70000       1.088280e-01       3.350271e-04       6.189302e-02       1.426879e-01       1.954716e-02       5.760806e-02
       72000       1.068824e-01       6.933295e-04       6.043955e-02       1.913519e-01       1.672315e-02       5.634392e-02
       74000       1.091976e-01       9.916742e-04       6.209157e-02       1.354511e-01       1.841987e-02       5.637507e-02
       76000       1.091310e-01       3.522504e-04       6.209656e-02       1.490344e-01       1.688018e-02       5.776092e-02
       78000       1.087030e-01       3.192857e-04       6.207333e-02       1.284303e-01       1.595067e-02       5.748723e-02
       80000       1.077539e-01       4.937921e-04       6.106137e-02       1.323782e-01       1.442192e-02       5.390821e-02
       82000       1.097503e-01       4.577338e-04       6.254959e-02       1.055945e-01       1.462017e-02       5.498710e-02
       84000       1.095326e-01       6.918105e-04       6.233538e-02       1.750636e-01       1.088318e-02       5.836011e-02
       86000       1.101575e-01       2.086161e-04       6.290502e-02       1.513402e-01       1.536612e-02       5.685923e-02
       88000       1.085500e-01       4.284342e-04       6.183723e-02       1.588501e-01       1.665881e-02       5.913896e-02
       90000       1.104117e-01       8.676598e-04       6.255871e-02       1.654311e-01       1.647558e-02       5.466314e-02
       92000       1.102658e-01       5.700702e-04       6.268277e-02       1.804785e-01       1.964257e-02       5.886007e-02
       94000       1.094516e-01       9.347719e-04       6.203445e-02       1.219521e-01       1.472528e-02       5.261548e-02
       96000       1.073132e-01       3.284024e-04       6.115189e-02       1.337055e-01       1.287056e-02       5.449036e-02
       98000       1.075853e-01       7.372424e-04       6.116350e-02       1.564222e-01       1.532671e-02       5.673792e-02
      100000       1.091472e-01       4.739326e-04       6.182327e-02       1.265069e-01       1.551278e-02       5.677352e-02
      102000       1.089902e-01       5.593552e-04       6.225182e-02       1.452430e-01       1.412842e-02       5.884466e-02
      104000       1.104405e-01       4.732075e-04       6.229405e-02       1.202746e-01       1.129578e-02       5.561900e-02
      106000       1.100367e-01       8.655158e-04       6.272336e-02       1.551682e-01       1.347184e-02       5.531575e-02
      108000       1.095998e-01       1.071310e-03       6.196671e-02       1.299950e-01       1.785984e-02       5.538639e-02
      110000       1.081827e-01       3.469833e-04       6.154492e-02       1.247887e-01       1.655972e-02       5.663972e-02
      112000       1.097458e-01       7.745046e-04       6.260806e-02       1.422250e-01       1.931458e-02       5.768317e-02
      114000       1.091006e-01       7.711972e-04       6.201837e-02       1.489522e-01       1.584162e-02       5.761301e-02
      116000       1.096004e-01       2.276651e-04       6.244957e-02       1.279370e-01       1.699922e-02       5.458337e-02
      118000       1.080468e-01       6.572973e-04       6.140706e-02       1.427286e-01       1.461963e-02       5.661830e-02
      120000       1.091185e-01       1.071612e-04       6.204957e-02       1.417348e-01       1.208207e-02       5.659311e-02
      122000       1.085425e-01       2.981241e-04       6.182890e-02       1.253128e-01       1.807438e-02       5.498237e-02
      124000       1.077560e-01       7.980661e-04       6.121515e-02       1.239546e-01       1.721190e-02       5.748471e-02
