# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-2.96287 4908.11140
-2.96252 4847.09976
-2.95582 4591.18499
-2.95430 4786.08092
-2.95395 4725.06927
-2.95361 4664.05762
-2.94503 4542.02713
-2.94469 4481.01548
-2.94434 4420.00384
-2.94230 4059.01825
-2.93597 4333.56348
-2.93563 4272.55183
-2.93528 4211.54018
-2.93494 4150.52853
-2.93459 4089.51689
-2.92622 4003.07653
-2.92588 3942.06488
-2.92553 3881.05323
-2.91842 3552.26344
-2.91725 3809.86578
-2.91690 3748.85413
-2.91656 3687.84249
-2.91621 3626.83084
-2.90758 3494.63174
-2.90724 3433.62009
-2.90689 3372.60845
-2.89852 3286.16809
-2.89817 3225.15644
-2.89783 3164.14479
-2.89748 3103.13314
-2.89714 3042.12150
-2.89679 2981.10985
-2.88842 2894.66949
-2.88808 2833.65784
-2.87971 2747.21748
-2.87936 2686.20583
-2.87902 2625.19418
-2.87867 2564.18254
-2.87833 2503.17089
-2.86996 2416.73053
-2.86961 2355.71888
-2.86127 2274.36283
-2.86092 2213.35118
-2.86058 2152.33953
-2.86023 2091.32788
-2.85990 2032.85839
-2.85155 1948.96018
-2.85120 1887.94853
-2.84289 1811.67678
-2.84254 1750.66513
-2.84220 1689.65348
-2.83388 1613.38173
-2.83354 1552.37008
-2.83319 1491.35843
-2.82750 1413.39431
-2.81668 1359.15215
-2.81634 1298.14050
-2.81599 1237.12885
-2.81565 1176.11720
-2.80736 1104.92976
-2.79908 1033.74231
-2.79873 972.73066
-2.79827 891.38180
-2.78222 840.52437
-2.78188 779.51273
-2.78140 695.62171
-2.76519 616.80062
-2.76470 530.36745
-2.74822 403.24546
-2.73188 301.54500
-2.71566 220.18175
-2.69154 136.26916
-2.66736 42.18797
-2.55732 96.31986
-2.50282 214.90328
-2.47232 395.36731
-2.47184 311.47629
-2.43332 469.05376
-2.41799 545.30394
-2.40275 636.80703
-2.38747 723.22581
-2.37217 804.56029
-2.35684 880.81047
-2.34148 951.97635
-2.31829 1033.30364
-2.30310 1134.97533
-2.23202 1109.48909
-2.20004 1028.11146
-2.18393 967.08543
-2.16782 906.05940
-2.15162 829.78046
-2.14286 674.70199
-2.13543 753.50151
-2.12664 593.33875
-2.11043 514.51765
-2.09422 435.69656
-2.05442 367.02250
-2.03832 305.99646
-2.01421 224.62603
-1.98225 148.33270
