# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
1.11533 135.33788
1.19852 58.99781
1.25785 21.65898
1.42568 7.35351
1.59673 27.28144
1.67525 78.89995
1.73007 141.55603
1.77693 217.77744
1.80807 285.96308
1.83915 366.01211
1.87019 451.14543
1.90121 541.36306
1.93228 621.41209
1.96340 693.83465
1.98667 759.90903
2.04932 831.87914
2.12030 822.49319
2.16806 741.10118
2.19999 668.19739
2.25331 532.56801
2.28004 450.77148
2.31204 368.12278
2.34402 286.74515
2.37594 217.23089
2.42366 142.61795
2.47919 78.16643
2.55830 26.40409
2.65302 2.59104
2.74758 5.04690
2.84201 32.07689
2.92846 76.73966
2.99907 133.61914
3.05390 194.58045
3.10087 250.46465
3.14782 311.43315
3.19478 369.01211
3.24961 430.82080
3.32030 473.97266
3.42281 465.40534
3.50196 406.44023
3.55742 355.12316
3.61300 283.04518
3.67637 227.06031
3.75551 169.36628
3.85027 138.77416
3.94482 143.77217
4.03928 165.71786
4.13369 194.44262
4.22810 224.86214
4.32253 251.89213
4.41700 271.29567
4.51148 289.85182
4.60601 297.39198
4.70058 299.84784
4.75575 299.79750
4.96006 305.22360
5.52573 322.95565
5.97840 313.41854

