#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.039084e-02       9.832417e-06       4.399244e-03       3.461588e-03       8.642999e-04       2.372234e-03
        2000       7.087378e-03       8.885223e-05       3.449737e-03       4.892424e-02       4.900815e-03       1.699038e-02
        4000       7.137838e-03       2.145324e-04       3.472427e-03       4.752614e-02       4.530371e-03       1.644956e-02
        6000       7.287700e-03       2.142423e-04       3.523413e-03       5.442958e-02       5.193175e-03       1.644200e-02
        8000       7.275748e-03       1.992653e-04       3.474821e-03       4.425674e-02       5.447012e-03       1.639352e-02
       10000       6.888966e-03       2.662965e-04       3.318930e-03       6.005477e-02       4.904050e-03       1.654283e-02
       12000       6.826360e-03       1.079921e-04       3.341682e-03       4.221113e-02       4.515844e-03       1.610032e-02
       14000       7.174249e-03       1.389054e-04       3.463388e-03       5.653468e-02       4.783382e-03       1.607820e-02
       16000       7.215686e-03       2.573876e-04       3.504831e-03       4.918433e-02       4.601067e-03       1.624402e-02
       18000       7.227227e-03       4.105888e-04       3.431301e-03       4.589713e-02       4.605646e-03       1.619972e-02
       20000       7.136492e-03       1.773155e-04       3.448578e-03       4.640351e-02       4.400735e-03       1.629535e-02
       22000       7.024501e-03       2.542156e-04       3.427006e-03       4.927827e-02       4.937197e-03       1.601265e-02
       24000       7.391171e-03       2.315105e-04       3.453825e-03       5.966792e-02       4.510581e-03       1.656821e-02
       26000       6.787221e-03       1.576988e-04       3.343193e-03       4.998917e-02       3.539390e-03       1.673654e-02
       28000       6.984588e-03       2.026918e-04       3.341466e-03       4.789037e-02       4.472117e-03       1.629423e-02
       30000       7.351536e-03       3.036631e-04       3.450672e-03       4.672915e-02       4.359726e-03       1.695751e-02
       32000       7.258177e-03       7.363999e-05       3.503885e-03       5.235974e-02       3.677357e-03       1.655345e-02
       34000       7.360731e-03       8.375627e-05       3.442783e-03       4.727624e-02       4.150734e-03       1.611210e-02
       36000       7.209417e-03       7.767246e-05       3.450648e-03       5.157856e-02       3.926815e-03       1.599104e-02
       38000       7.184928e-03       2.058730e-04       3.425634e-03       4.541727e-02       4.146653e-03       1.673812e-02
       40000       7.243387e-03       8.971105e-05       3.451455e-03       5.668613e-02       3.955499e-03       1.645899e-02
       42000       7.212697e-03       9.147731e-05       3.407332e-03       4.420528e-02       4.048294e-03       1.615559e-02
       44000       6.761930e-03       2.307911e-04       3.382167e-03       4.912072e-02       5.781615e-03       1.692099e-02
       46000       7.354359e-03       4.185056e-04       3.570898e-03       4.977469e-02       5.270618e-03       1.710033e-02
       48000       7.110775e-03       2.448015e-04       3.446726e-03       5.486860e-02       4.942954e-03       1.634389e-02
       50000       7.210548e-03       1.096220e-04       3.474234e-03       5.117843e-02       3.017464e-03       1.709453e-02
       52000       7.404152e-03       9.676919e-05       3.477696e-03       4.470381e-02       3.921005e-03       1.679140e-02
       54000       7.147518e-03       2.472583e-04       3.404458e-03       5.424048e-02       4.597033e-03       1.619608e-02
       56000       7.239442e-03       2.941994e-04       3.524424e-03       4.191536e-02       4.836212e-03       1.630257e-02
       58000       7.246811e-03       1.574247e-04       3.466855e-03       5.110718e-02       4.757020e-03       1.628458e-02
       60000       6.955630e-03       1.127483e-04       3.315998e-03       4.320171e-02       4.813659e-03       1.631836e-02
       62000       6.817090e-03       2.716647e-04       3.331025e-03       5.345654e-02       4.870893e-03       1.646564e-02
       64000       7.085733e-03       1.485329e-04       3.411006e-03       5.339646e-02       4.075894e-03       1.640210e-02
       66000       6.850779e-03       2.373972e-04       3.297132e-03       5.541091e-02       4.862354e-03       1.696082e-02
       68000       7.197416e-03       1.704621e-04       3.465108e-03       4.904733e-02       4.995847e-03       1.608575e-02
       70000       7.309753e-03       1.064867e-04       3.592149e-03       7.156691e-02       4.589052e-03       1.678324e-02
       72000       7.120795e-03       1.914158e-04       3.489982e-03       4.997971e-02       4.237146e-03       1.671107e-02
       74000       6.782930e-03       1.806545e-04       3.308423e-03       4.054682e-02       4.193727e-03       1.588880e-02
       76000       6.954943e-03       1.718676e-04       3.341464e-03       5.179525e-02       4.384042e-03       1.636956e-02
       78000       6.999321e-03       1.981924e-04       3.385192e-03       4.554211e-02       4.818123e-03       1.639190e-02
       80000       7.124265e-03       3.380542e-05       3.451238e-03       5.171887e-02       4.664162e-03       1.652683e-02
       82000       7.074956e-03       2.195820e-04       3.391090e-03       4.753840e-02       2.719070e-03       1.624349e-02
       84000       7.378375e-03       1.282058e-04       3.544472e-03       4.228434e-02       4.851889e-03       1.606056e-02
       86000       6.930642e-03       1.717030e-04       3.334164e-03       4.061238e-02       3.907143e-03       1.624082e-02
       88000       6.916591e-03       1.250962e-04       3.312638e-03       4.453980e-02       4.651848e-03       1.607820e-02
